ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Casio G-Shock x Baby-G,LOV20B-4,"HKD 1,580","HKD 1,264",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906894/cm-0/d-0
Casio G-Shock,GA400GB-1A9,"HKD 1,330","HKD 1,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900329/cm-0/d-0
Casio Baby-G,BA110-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900263/cm-0/d-0
Seiko 5 Sports,SRPF69K1,"HKD 3,480","HKD 2,784",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907020/cm-0/d-0
Casio G-Shock,GMDS6900SR-7,HKD 940,HKD 752,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906905/cm-0/d-0
Casio G-Shock,GMAS110SR-7A,"HKD 1,340","HKD 1,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906208/cm-0/d-0
Casio G-Shock,GA140GM-1A1,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904918/cm-0/d-0
Casio Baby-G,BA130-1A2,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906196/cm-0/d-0
Seiko Presage,SRPF25J1,"HKD 3,120","HKD 2,496",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907119/cm-0/d-0
Seiko Presage,SRPF29J1,"HKD 2,890","HKD 2,312",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907120/cm-0/d-0
Citizen Mechanical,NP1010-01L,"HKD 3,510","HKD 2,808",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902074/cm-0/d-0
Citizen Mechanical,PD7150-03L,"HKD 2,420","HKD 1,936",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900968/cm-0/d-0
Casio G-Shock,GA110RG-7A,"HKD 1,350","HKD 1,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900892/cm-0/d-0
Casio Baby-G,BA110RG-7A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900266/cm-0/d-0
Casio G-Shock,DW5600THB-7,HKD 898,HKD 673,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904453/cm-0/d-0
Casio Baby-G,BGD560THB-7,HKD 790,HKD 592,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904448/cm-0/d-0
Casio G-Shock,GA110GW-7A,"HKD 1,330","HKD 1,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900891/cm-0/d-0
Casio Baby-G,BA110-7A1,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900262/cm-0/d-0
Casio G-Shock,GA110-1B,"HKD 1,170",HKD 936,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900317/cm-0/d-0
Casio Baby-G,BA110BC-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900887/cm-0/d-0
Seiko Domestic,SBPL009J,"HKD 1,980",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905266/cm-0/d-0
Seiko Domestic,SBPL007J,"HKD 1,980",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905265/cm-0/d-0
Seiko Domestic,STPX047J,"HKD 1,980",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905446/cm-0/d-0
Seiko Quartz,SCXP128J,"HKD 1,780","HKD 1,157",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901751/cm-0/d-0
Seiko Domestic,SCXP138J,"HKD 1,780","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906695/cm-0/d-0
Seiko Presage,SRPF28J1,"HKD 3,710","HKD 2,968",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907123/cm-0/d-0
Seiko Presage,SRPF32J1,"HKD 3,410","HKD 2,728",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907124/cm-0/d-0
Casio G-Shock,GA140GB-1A2,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904921/cm-0/d-0
Casio Baby-G,BA130-1A4,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906198/cm-0/d-0
Casio G-Shock,DW5600WM-5,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906902/cm-0/d-0
Casio Baby-G,BGD560WM-5,HKD 740,HKD 592,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906901/cm-0/d-0
Casio Baby-G,BGD570TH-1,HKD 790,HKD 592,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904449/cm-0/d-0
Casio G-Shock,GA140GB-1A1,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904917/cm-0/d-0
Casio Baby-G,BA130-1A3,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906197/cm-0/d-0
Citizen Mechanical,NY4051-51EB,"HKD 2,400","HKD 1,920",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902297/cm-0/d-0
Citizen Mechanical,PD7151-51EB,"HKD 2,400","HKD 1,920",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902298/cm-0/d-0
